"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Use","Purpose of Use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Renovation","Transactional factors"
113,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","8",54000000,"1LDK","45",,"","","","2007","RC","","House","","",,"Category I Residential Zone",60,400,"2nd quarter 2023","Not yet",""
114,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","6",110000000,"2LDK","70",,"","","","2016","RC","","House","","",,"Category I Residential Zone",60,400,"2nd quarter 2023","Not yet",""
115,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","0",120000000,"2LDK","80",,"","","","2010","RC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Done",""
116,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","5",57000000,"2LDK","55",,"","","","2003","RC","House","House","","",,"Category II Residential Zone",80,400,"2nd quarter 2023","Not yet",""
117,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","4",19000000,"1K","25",,"","","","1989","SRC","","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Not yet",""
118,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","4",50000000,"1LDK","40",,"","","","2008","RC","House","House","","",,"Category II Residential Zone",80,400,"2nd quarter 2023","Done",""
119,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","8",69000000,"2LDK","55",,"","","","2007","RC","House","House","","",,"Category I Residential Zone",60,400,"2nd quarter 2023","Not yet",""
120,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","6",100000000,"3LDK","85",,"","","","2008","RC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Not yet",""
121,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","6",170000000,"3LDK","105",,"","","","2008","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
122,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","8",70000000,"3LDK","60",,"","","","2007","RC","","House","","",,"Category I Residential Zone",60,400,"1st quarter 2023","Not yet",""
123,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","8",71000000,"2LDK","65",,"","","","2007","RC","House","House","","",,"Category I Residential Zone",60,400,"1st quarter 2023","Not yet",""
124,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","8",98000000,"2LDK","75",,"","","","2007","RC","House","House","","",,"Category I Residential Zone",60,400,"1st quarter 2023","Not yet",""
125,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","8",65000000,"2LDK","55",,"","","","2012","RC","House","House","","",,"Category I Residential Zone",60,400,"1st quarter 2023","Done",""
126,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","9",34000000,"1DK","25",,"","","","2021","RC","House","House","","",,"Quasi-industrial Zone",60,400,"1st quarter 2023","Not yet",""
127,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","6",92000000,"3LDK","70",,"","","","2016","RC","House","House","","",,"Category I Residential Zone",60,400,"1st quarter 2023","Not yet",""
128,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","6",69000000,"1DK","50",,"","","","2008","RC","House","","","",,"Commercial Zone",80,500,"1st quarter 2023","Done",""
129,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","1",24000000,"1K","30",,"","","","1980","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Done",""
130,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","6",98000000,"3LDK","75",,"","","","2008","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
131,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","4",55000000,"","55",,"","","","2003","RC","","","","",,"Category II Residential Zone",80,400,"1st quarter 2023","",""
132,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","6",77000000,"1LDK","55",,"","","","2016","RC","House","House","","",,"Category I Residential Zone",60,400,"1st quarter 2023","Not yet",""
133,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","3",32000000,"1K","25",,"","","","2015","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
134,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","3",20000000,"1K","20",,"","","","2003","SRC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","",""
135,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","6",90000000,"3LDK","70",,"","","","2016","RC","","House","","",,"Category I Residential Zone",60,400,"1st quarter 2023","Not yet",""
136,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","6",130000000,"3LDK","90",,"","","","2008","RC","","House","","",,"Commercial Zone",80,500,"1st quarter 2023","",""
137,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki","1",46000000,"1LDK","40",,"","","","2005","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
138,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Kyobashi","Takaracho (Tokyo)","4",31000000,"1K","20",,"","","","2004","SRC","","House","","",,"Commercial Zone",80,800,"1st quarter 2023","Not yet",""
139,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Ginza","Shiodome","3",64000000,"1LDK","50",,"","","","1999","RC","","House","","",,"Commercial Zone",80,700,"1st quarter 2023","Done",""
140,"Residential Land(Land and Building)","Commercial Area","13102","Tokyo","Chuo Ward","Ginza","Shintomicho (Tokyo)","3",160000000,"","65",,"Semi-rectangular Shaped","5.0","310","1972","S","Warehouse","Warehouse","Northwest","Ward Road",8.0,"Commercial Zone",80,600,"2nd quarter 2023","",""
141,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Ginza","Shintomicho (Tokyo)","3",65000000,"1LDK","40",,"","","","2004","RC","House","Shop","","",,"Commercial Zone",80,600,"2nd quarter 2023","Done",""
142,"Residential Land(Land and Building)","Commercial Area","13102","Tokyo","Chuo Ward","Ginza","Shinbashi","3",3600000000,"","115",,"Rectangular Shaped","8.0","790","2020","S","Office, Shop","Shop","Southeast","Ward Road",8.0,"Commercial Zone",80,700,"2nd quarter 2023","",""
143,"Residential Land(Land Only)","Commercial Area","13102","Tokyo","Chuo Ward","Ginza","Takaracho (Tokyo)","3",500000000,"","90",5600000,"Semi-rectangular Shaped","7.5","","","","","Other","Southeast","Ward Road",11.0,"Commercial Zone",80,800,"1st quarter 2023","",""
144,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Ginza","Tsukijishijo","4",40000000,"1R","20",,"","","","2004","SRC","House","House","","",,"Commercial Zone",80,700,"2nd quarter 2023","Done",""
145,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Ginza","Tsukijishijo","4",48000000,"","30",,"","","","2012","RC","","House","","",,"Commercial Zone",80,700,"1st quarter 2023","Not yet",""
146,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Ginza","Tsukijishijo","4",69000000,"1LDK","40",,"","","","2019","RC","House","House","","",,"Commercial Zone",80,700,"1st quarter 2023","Not yet",""
147,"Residential Land(Land and Building)","Commercial Area","13102","Tokyo","Chuo Ward","Ginza","Higashiginza","2",900000000,"","130",,"Semi-square Shaped","11.0","790","1972","RC","Office, Shop","Office","Northwest","Ward Road",11.0,"Commercial Zone",80,600,"2nd quarter 2023","",""
148,"Residential Land(Land and Building)","Commercial Area","13102","Tokyo","Chuo Ward","Ginza","Higashiginza","3",1700000000,"","145",,"Rectangular Shaped","7.5","690","1980","SRC","House, Office, Shop","Other","Southeast","Ward Road",11.0,"Commercial Zone",80,700,"2nd quarter 2023","",""
149,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Ginza","Higashiginza","3",36000000,"","25",,"","","","2012","RC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Not yet",""
150,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Ginza","Higashiginza","4",43000000,"1DK","25",,"","","","2016","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
151,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Ginza","Higashiginza","2",41000000,"1DK","30",,"","","","2004","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
152,"Residential Land(Land and Building)","Commercial Area","13102","Tokyo","Chuo Ward","Shinkawa","Kayabacho","6",91000000,"","40",,"Semi-trapezoidal Shaped","6.3","100","2007","RC","Office","House","Southwest","Ward Road",8.0,"Commercial Zone",80,500,"2nd quarter 2023","",""
153,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Shinkawa","Kayabacho","9",67000000,"","60",,"","","","1998","SRC","","House","","",,"Commercial Zone",80,700,"2nd quarter 2023","Done",""
154,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Shinkawa","Kayabacho","4",24000000,"1K","20",,"","","","1999","RC","","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
155,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Shinkawa","Hatchobori (Tokyo)","6",100000000,"3LDK","85",,"","","","2003","RC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Done",""
156,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Shinkawa","Hatchobori (Tokyo)","4",13000000,"1K","15",,"","","","1974","SRC","","House","","",,"Commercial Zone",80,700,"2nd quarter 2023","Not yet",""
157,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Shinkawa","Hatchobori (Tokyo)","2",60000000,"1K","40",,"","","","2019","RC","","Office","","",,"Commercial Zone",80,700,"2nd quarter 2023","Not yet",""
158,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Shinkawa","Hatchobori (Tokyo)","7",23000000,"1K","20",,"","","","1999","SRC","","House","","",,"Commercial Zone",80,700,"2nd quarter 2023","",""
159,"Residential Land(Land and Building)","Commercial Area","13102","Tokyo","Chuo Ward","Shinkawa","Hatchobori (Tokyo)","4",170000000,"","55",,"Semi-rectangular Shaped","3.5","170","1979","S","House, Office, Shop","Other","Northwest","Ward Road",22.0,"Commercial Zone",80,700,"1st quarter 2023","",""
160,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Shinkawa","Hatchobori (Tokyo)","4",18000000,"1K","20",,"","","","2001","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","",""
161,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Shinkawa","Hatchobori (Tokyo)","8",120000000,"3LDK","90",,"","","","2004","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
162,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Shinkawa","Hatchobori (Tokyo)","7",26000000,"1K","20",,"","","","1999","SRC","","House","","",,"Commercial Zone",80,700,"1st quarter 2023","",""
163,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Shinkawa","Hatchobori (Tokyo)","5",110000000,"3LDK","70",,"","","","2002","SRC","","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Done",""
164,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Shintomi","Shintomicho (Tokyo)","3",27000000,"2DK","35",,"","","","1979","SRC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Not yet",""
165,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Shintomi","Shintomicho (Tokyo)","3",48000000,"1LDK","35",,"","","","1999","SRC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Not yet",""
166,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Shintomi","Shintomicho (Tokyo)","2",65000000,"2DK","40",,"","","","2011","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Done",""
167,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukiji","Shintomicho (Tokyo)","1",18000000,"1K","20",,"","","","1971","SRC","","Other","","",,"Commercial Zone",80,700,"2nd quarter 2023","Not yet",""
168,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukiji","Shintomicho (Tokyo)","1",21000000,"1DK","25",,"","","","1971","SRC","","Other","","",,"Commercial Zone",80,700,"2nd quarter 2023","Not yet",""
169,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukiji","Shintomicho (Tokyo)","1",55000000,"1LDK","40",,"","","","2004","SRC","House","House","","",,"Commercial Zone",80,700,"2nd quarter 2023","Not yet",""
170,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukiji","Shintomicho (Tokyo)","1",56000000,"1DK","40",,"","","","2005","SRC","House","House","","",,"Commercial Zone",80,700,"1st quarter 2023","Done",""
171,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukiji","Shintomicho (Tokyo)","1",29000000,"1K","20",,"","","","2005","RC","","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
172,"Residential Land(Land and Building)","Residential Area","13102","Tokyo","Chuo Ward","Tsukiji","Tsukiji","4",1800000000,"","280",,"Irregular Shaped","8.5","1500","2023","RC","Housing Complex","House","Southwest","Ward Road",10.0,"Commercial Zone",80,500,"2nd quarter 2023","","Dealings including private road"
173,"Residential Land(Land and Building)","Commercial Area","13102","Tokyo","Chuo Ward","Tsukiji","Tsukiji","2",450000000,"","75",,"Rectangular Shaped","6.0","460","1988","SRC","House, Office, Shop","Office","Southeast","Ward Road",19.0,"Commercial Zone",80,600,"2nd quarter 2023","",""
174,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukiji","Tsukiji","6",26000000,"1K","20",,"","","","1999","SRC","House","Other","","",,"Commercial Zone",80,500,"2nd quarter 2023","Not yet",""
175,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukiji","Tsukiji","3",5800000,"1K","15",,"","","","1986","SRC","House","House","","",,"Commercial Zone",80,700,"1st quarter 2023","Not yet",""
176,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukiji","Tsukiji","1",54000000,"1LDK","35",,"","","","2017","RC","House","House","","",,"Commercial Zone",80,700,"1st quarter 2023","Not yet",""
177,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukiji","Tsukiji","7",63000000,"1LDK","45",,"","","","1999","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Done",""
178,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukiji","Tsukiji","5",87000000,"2LDK","55",,"","","","2021","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
179,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukiji","Tsukiji","5",77000000,"2LDK","45",,"","","","2020","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
180,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukiji","Tsukiji","2",14000000,"Open Floor","25",,"","","","1979","SRC","","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
181,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukiji","Tsukiji","0",53000000,"1LDK","35",,"","","","2017","RC","","House","","",,"Commercial Zone",80,700,"1st quarter 2023","Not yet",""
182,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukiji","Higashiginza","3",35000000,"1LDK","35",,"","","","1972","SRC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Done",""
183,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukiji","Higashiginza","3",45000000,"1DK+S","35",,"","","","2004","RC","","Other","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
184,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukiji","Higashiginza","3",38000000,"2DK","40",,"","","","1972","SRC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Done",""
185,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukishima","Kachidoki","4",44000000,"2LDK","50",,"","","","1979","RC","","House","","",,"Category II Residential Zone",80,400,"2nd quarter 2023","Not yet",""
186,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukishima","Kachidoki","4",28000000,"1K","20",,"","","","2003","SRC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Done",""
187,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukishima","Kachidoki","6",19000000,"1K","15",,"","","","1996","RC","House","House","","",,"Category II Residential Zone",80,400,"2nd quarter 2023","",""
188,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukishima","Kachidoki","6",27000000,"1K","20",,"","","","2004","RC","House","House","","",,"Category II Residential Zone",80,400,"2nd quarter 2023","Not yet",""
189,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukishima","Kachidoki","6",19000000,"1K","15",,"","","","1996","RC","House","House","","",,"Category II Residential Zone",80,400,"2nd quarter 2023","Not yet",""
190,"Residential Land(Land and Building)","Residential Area","13102","Tokyo","Chuo Ward","Tsukishima","Kachidoki","7",9000000,"","35",,"Rectangular Shaped","3.6","40","before the war","W","House","House","Northeast","Private Road",2.7,"Commercial Zone",80,400,"1st quarter 2023","","Dealings including private road"
191,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Tsukishima","Kachidoki","7",83000000,"2LDK","60",,"","","","2014","RC","House","House","","",,"Category II Residential Zone",80,400,"1st quarter 2023","Done",""
192,"Residential Land(Land Only)","Commercial Area","13102","Tokyo","Chuo Ward","Tsukishima","Tsukishima","3",60000000,"","50",1200000,"Semi-rectangular Shaped","4.5","","","","","House","Northwest","Ward Road",5.5,"Category II Residential Zone",80,400,"2nd quarter 2023","",""
